Defense	Item	Popularity	Attack	Eps	Steps	HRBefAtt@50	HRAftAtt@50	NumImprov	PredShift
denoiser	15691	5111	insa	8	4	0.00030716304214276936	0.0011672195601425237	0.9612974566900111	1.1871225833892822
denoiser	15691	5111	wbsign	16	4	0.00030716304214276936	0.0044231478068558795	0.9612974566900111	2.2052524089813232
denoiser	15691	5111	wbsign	4	1	0.00030716304214276936	0.0013515173854281852	0.9769013392308638	1.276061773300171
denoiser	15691	5111	insa	16	8	0.00030716304214276936	0.003440226071999017	0.979358643568006	1.7661601305007935
denoiser	15691	5111	wbsign	4	4	0.00030716304214276936	0.0011672195601425237	0.9822459761641479	1.1683210134506226
denoiser	15691	5111	insa	16	4	0.00030716304214276936	0.0015358152107138468	0.9450178154564443	1.2952024936676025
denoiser	15691	5111	bbcat770	8	8	0.00030716304214276936	0.0010443543432854159	0.6852807470205184	0.43335381150245667
denoiser	15691	5111	wbsign	16	1	0.00030716304214276936	0.0014129499938567392	0.6833149035508048	0.8832657933235168
denoiser	15691	5111	insa	8	8	0.00030716304214276936	0.001474382602285293	0.9856247696277184	1.4852784872055054
denoiser	15691	5111	insa	8	1	0.00030716304214276936	0.00030716304214276936	0.9394888806978744	0.5244924426078796
denoiser	15691	5111	wbsign	8	8	0.00030716304214276936	0.0022115739034279398	0.9634475979850105	1.6677095890045166
denoiser	15691	5111	bbcat770	4	1	0.00030716304214276936	0.00018429782528566163	0.5020272760781422	0.009396914392709732
denoiser	15691	5111	wbsign	4	8	0.00030716304214276936	0.0009214891264283082	0.9670106892738666	0.9769121408462524
denoiser	15691	5111	bbcat770	16	1	0.00030716304214276936	0.0007371913011426465	0.4974812630544293	-0.028068386018276215
denoiser	15691	5111	insa	4	1	0.00030716304214276936	0.00043002825899987715	0.9757955522791498	0.6509454846382141
denoiser	15691	5111	insa	4	8	0.00030716304214276936	0.001474382602285293	0.9908465413441455	1.200600504875183
denoiser	15691	5111	bbcat770	4	8	0.00030716304214276936	0.00036859565057132326	0.6116230495146824	0.16059762239456177
denoiser	20624	8296	bbcat770	16	4	0.0027644673792849243	6.143260842855388e-05	0.18718515788180365	-2.0540215969085693
denoiser	20624	8296	bbcat770	8	1	0.0027644673792849243	0.0002457304337142155	0.2369455707089323	-1.4168559312820435
